

OVERALL
Team,History Wins,History Loses,Score
Minnesota Timberwolves,11,40,112
Detroit Pistons,20,32,101

PLAYERS
Team,Player,Points,Rebounds,Assists,Steals,Blocks
Minnesota Timberwolves,Nikola Pekovic,29,3,N/A,2,N/A
Minnesota Timberwolves,Kevin Martin,24,9,N/A,3,N/A
Minnesota Timberwolves,Andrew Wiggins,18,8,5,N/A,N/A
Minnesota Timberwolves,Thaddeus Young,16,N/A,4,N/A,N/A
Minnesota Timberwolves,Mo Williams,11,N/A,9,N/A,N/A
Detroit Pistons,D.J. Augustin,20,N/A,8,N/A,N/A
Detroit Pistons,Andre Drummond,17,14,N/A,2,2
Detroit Pistons,Anthony Tolliver,15,4,N/A,N/A,N/A
Detroit Pistons,Greg Monroe,15,N/A,N/A,N/A,N/A
Detroit Pistons,Kentavious Caldwell-Pope,15,N/A,N/A,N/A,N/A
